full_name#string#id#boolean#blank#year#tiny_integer#small_integer#mid_integer#big_ineger#tiny_real#small_real#mid_real#big_real#percentage#character#characters_digits_2#characters_digits_10#command#date
Daphna Bisiker#Arnoseris#1#false##2009#95#11634#-512952#932296327#-13.16#57662.9#934405.88#142052234.74#64.81%#p#no#jPkbpqoYkm#a2p#14 March 2001
Sonnnie Huitson#Dwarf Red Blackberry#12#false##2011#-61#7086#258909#656835380#64.51#34392.92#-872615.36#-254077289.31#40.66%#o#jI#k9BelENb6k#automator#6 October 2004
Jere Howselee#European Plum#13#true##1991#42#-66981#788136#-469239685#53.28#-36333.87#972115.28#-537582581.5#00.00%#k#TG#yTMlaZaNCY#auvaltool#17 May 2005
Barrett Duckitt#Texas Milkweed#14#true##2005#-85#70756#580162#-324802717#23.61#-80970.11#-646436#77463273.76#39.15%#l#B8#nSj5Xtg2mX#a2p5.16#17 October 2005
Kittie Jewell#Wild Foxglove#15#false##2009#-43#-63002#-94236#-566130466#-11.64#46951.99#-320254.9#581953992.21#67.85%#t#Mo#rLyZauQdPm#accton#24 September 2006
Saunder Synan#Gmelin's Sedge#16#false##1992#54#-50171#-169470#-337560527#-87.14#55322.39#-95708#260071499.39#58.81%#u#1k#zOIVmWpW1d#afconvert#4 November 2007
Kerby Harbert#Camphor Tansy#17#true##2007#-69#9749#820649#-292905859#2.19#67862.06#200947#-438947189.1#23.86%#t#H9#EzeF0kYg1G#afmtodit#18 June 2008
Luther Gruszka#American Black Nightshade#18#false##2003#54#-13751#98670#-935117888#9.97#99281.19#840272.39#391287234.89#71.84%#w#qW#HBT184mWS9#allcm#11 August 2009
Laraine Raselles#Strawberryleaf Cinquefoil#19#false##1968#-32#-46355#833806#-165334456#24.43#40813.43#-283193.42#987863083.29#95.51%#x#oT#VfCDRWd3vw#apachectl#15 February 2010
Egor Manshaw#Needle Lichen#20#true##2012#-96#-12799#692807#549265758#52.36#28552.65#-727769.89#-26616508.14#55.92%#n#VE#TYjOcJb5jw#appsleepd#12 May 2010
Ninnette Friatt#Brittle Bladderfern#21#false##2000#-82#2970#-776059#-641602474#74.33#30497.14#-527947#265178904.98#92.72%#p#6U#4nD4JhbTJl#arlatex#17 December 2010
Thorin Bodycombe#Carolina False Vervain#22#false##2003#-74#75879#-295084#-453096520#56.18#-23532.03#-441495.1#-485398534.75#15.42%#c#U8#VjDZcZ1K8M#assetutil#22 October 2012
Hilary O'Lehane#Tolmin's Orange Lichen#23#true##2001#-19#-14158#-145012#-191124527#9.49#-33951.21#-905989.25#-456206609.18#47.62%#a#OL#7KDzeCkVg3#atrm#24 February 2013
Eugenie Dominiak#Texas Sandmint#24#true##2009#-93#-14915#-220498#689397816#65.63#-78697.71#-771235.55#-885681897.76#46.34%#p#sw#ADyfkdUeqr#autodiskmount#3 October 2015
Claudina Huikerby#Shortspike Windmill Grass#25#false##2005#-22#10713#293700#-29277831#-49.01#-25442.43#41302.09#25053499.03#64.60%#s#GN#CbiDbVL4F4#automount#8 May 2017
Marja Fowles#Modoc Hawksbeard#26#false##2006#-48#57102#490242#499259422#-1.66#-72174.07#713530.74#905508267.1#77.16%#f#6r#w7y5P1IF0u#avbdeviced#13 November 2000
Annie Duester#Cutleaf Cinquefoil#27#false##2007#54#-36290#227935#-928375304#12.3#-6005.28#-526371.1#226709591.55#73.29%#u#5g#4PdFh8PLCP#a2p5.18#16 December 2000
Zebulon Danher#Narrowleaf Rhombopod#28#true##2011#-30#15030#173790#-236378973#87.92#-3029.49#551664.27#-407582637.45#37.60%#u#Dw#gbzh3AlmLV#aclocal#22 March 2001
Marjorie Cirlos#Oeder's Lousewort#29#true##2002#14#3492#-41502#-631813359#-14.37#41274.02#-921613.87#-948872723.48#84.47%#v#aE#7MWd7G8q8I#afhash#7 June 2001
Bernard Talks#Wattapama#30#true##1995#19#78512#955649#565512509#-42.49#-7084.55#526561.05#433330918.56#03.68%#x#5s#7NEFPOJNyD#afplay#2 December 2001
Bridget Wingeat#California Dutchman's Pipe#31#false##1985#85#-7294#-114875#-906797752#50.39#-37889.45#432026.78#796769486.17#69.90%#v#Wh#kmvyv9Jy9D#allec#23 December 2001
Sidney Aimer#Broadleaf Sedge#32#false##2005#61#-23772#247585#-489214917#-5.93#-55497.76#-814625.16#-615859658.28#38.27%#t#a1#A8XEZwsId0#apfs_hfs_convert#23 March 2002
Windy Burtwistle#Leadwood#33#true##2010#2#40318#-679167#37171643#-25.97#77628.98#-762886.91#-578332639.27#76.35%#j#S3#IwTPt1ypuh#apropos#16 October 2002
Amberly Bignall#Sanddune Spurge#34#true##2008#86#-95401#66046#342005927#64.68#99806.01#-917638.32#55725565.74#20.26%#p#pX#a72MqIcMU5#arp#6 December 2002
Thia Hammersley#Sierra Currant#35#true##1992#45#-45054#-766084#-743106814#-74.02#-62640.79#-804074.86#523718001.77#10.41%#x#VH#2TWTVeg3zm#asy#5 May 2003
Nilson Collar#Red-flower Woodsorrel#36#true##2005#51#82056#862634#164768956#-41.49#-34845.96#-333419.98#761427276.47#36.46%#p#dm#tbLW5idqMk#atsutil#18 October 2003
Randolf McTrusty#Goatgrass#37#true##2006#-59#64214#-636851#-13314002#-69.29#7413.88#-624538.48#-391366892.78#85.04%#j#iQ#hL3Wlv7Scn#autoheader#18 April 2004
Krystyna Pattrick#Wild Coco#38#false##1993#-85#30307#134081#824003104#-96.57#54401.34#308449.82#-661892959.29#43.09%#g#Na#yKmufA3pL4#autoreconf#15 December 2005
Melisa Cromie#Mexican Primrose-willow#39#false##1991#71#75715#-547494#25880568#87.98#-66637.12#221086#-814438820.56#71.25%#y#v1#Ee9Jb8tVmh#avbdiagnose#25 December 2005
Lebbie Evison#New Mexico Lupine#40#true##2007#65#48648#880652#-18109471#-54.57#30442.43#-369208.81#111826641.2#29.94%#w#ZU#q0DAyfko1J#a2ping#2 September 2007
Normie Fearenside#Wart Lichen#41#true##1992#-88#-81084#-803431#997608144#-62.6#-28275.21#-412211.57#349508349.67#43.70%#j#Zu#YrUMV0uXQv#aclocal-1.15#28 October 2008
Pepe Gowthrop#Morton's Alpine Oatgrass#42#true##2001#26#72121#233660#-21341399#-34.33#-20254.03#540405#-602219337.54#26.23%#o#1p#C81SNbnXNe#afida#10 March 2009
Pavlov Boc#Western Springbeauty#43#true##2007#-57#-43125#836906#-642470308#-57.13#60274.21#-997157.38#620950851.95#14.67%#i#L4#EG9xE8gCwo#afscexpand#11 March 2010
Brigid Ertel#Jeweled Tonguefern#44#false##2002#-99#97094#-75444#-829276815#-20.2#-1514.98#703932.45#-314878796.72#63.76%#k#DB#PxD0uUspdh#allneeded#28 January 2011
Edin Chirm#Pod Mahogany#45#true##2007#-44#55949#570670#-818358069#-3.92#24039.54#-881224.11#-708224464.54#81.67%#c#4N#dbuBIMn0rK#apm#18 September 2011
Richy Luety#Strawberry#46#false##2006#6#-93320#998499#251892375#6.16#49285.77#34754.01#-912534221.21#20.95%#g#pR#k1rOZICgIg#apt#19 June 2012
Nevile Stanbridge#Seashore Vervain#47#true##2010#-71#45146#519866#388018065#84.78#-51256.62#724191#88849206.26#04.31%#u#8f#pleiqdHPpz#as#12 June 2014
Tamarah Cammidge#Pore Lichen#48#false##1996#83#36354#-924274#630751877#-60.5#12535.65#-551206#937381224.03#88.38%#n#vK#qATUWyMbTK#at#13 March 2015
Frankie Rabbitts#Mallee Saltbush#49#true##1994#-38#32561#580216#292240494#-34.58#14177.94#-843145.98#570823641#57.36%#x#hp#z7jXMtDyFM#audit#12 November 2015
Dave Leroy#Beautiful Fleabane#50#false##1994#-88#-18431#-286314#976336471#-36.08#-5575.73#552833.37#63930757.2#94.89%#k#w6#AdAfnk05LN#autoinst#16 December 2017
Fonzie Guerra#Coastal Pricklypear#51#true##1998#78#50856#-12439#993747210#-16.63#-21295.1#-81451.01#241676337.34#44.92%#g#3T#1wunAyC7jR#autoscan#1 December 2000
Roth Flasby#Fourleaf Maidenhair#52#false##2003#-54#-54823#-249345#197609565#-40.69#98589.24#-622979#-70285958.93#83.56%#w#W8#qwTuIvhPR6#avbutil#10 March 2001
Kendrick Binton#Solano False Bindweed#53#false##2003#-32#-31422#-843062#-742694633#-97.54#39968.79#319370.74#-399785385.32#60.41%#z#cn#7sj9qozdi5#a5toa4#28 June 2001
Alon Darell#ahakea#54#false##2005#6#-38317#-114940#800907875#85.1#51850.02#271833#912459127.83#58.80%#a#62#Nmyl5a1zic#acyclic#29 March 2002
Selie Arkell#Bog Willow#55#true##2009#-2#-38862#881097#-796510964#59.93#15844.66#-612028.29#479152693.2#52.46%#w#d6#eNRSQ8Gqae#afinfo#5 March 2003
Jaymee Minto#Maui Tetramolopium#56#false##2004#-11#-23391#-609669#193762003#56.15#-16611.84#-665885.48#402462725.01#34.17%#h#vB#QxG28QMazs#agentxtrap#30 June 2004
Giulia Keuning#False Junco#57#false##1997#-26#-89353#360460#341290932#0.92#65036.73#-287272.37#-103569097.07#01.88%#t#Eg#AxUnaeaybP#amstex#12 October 2005
Kelley Sankey#Oakleaf Carica#58#false##2003#-23#-48113#-873563#14129438#42.75#74047.65#-615192.94#-435653961.68#02.75%#l#R1#6Z3nUFEQBw#applesingle#4 April 2006
Avictor Carles#Hairy Navel Lichen#59#true##2005#42#-96592#-677958#-526705005#-48.17#-2755.11#646106.14#-241337255.37#68.89%#o#8a#fVWgbD2pgt#apxs#14 May 2008
Torr Bownas#Bartramia Moss#60#false##1997#44#-89553#408906#-280227654#76.89#31182.06#-935622.53#572793568.86#26.55%#g#2J#5BE2fzNRHk#asa#9 July 2008
Neile Stiff#Coulter's Wrinklefruit#61#true##2002#-96#-58596#-581807#752949729#-14.59#-44423.87#847460.89#438273738.95#52.70%#z#QP#lMIVY4qhYn#atobm#13 September 2009
Drucill Terrelly#Plateilema#62#false##2006#47#16572#784691#65625146#6.99#80422.88#308953.67#809612203.07#60.46%#a#f2#XfrnrtFs45#auditd#14 February 2010
Kylie Grellier#Yellow Foxglove#63#true##2002#59#-35684#-207082#788992125#-46.99#-5149.23#218075.66#-256727109.63#27.91%#u#jM#wmBmIpvij9#autom4te#2 November 2010
Selle Pippin#Lonomea#64#false##2002#-48#21653#-780933#-868718289#23.7#60715.03#-880015.73#788548006.19#37.80%#d#K1#2kmN508tmI#autosp#23 February 2012
Jeffrey Blaxeland#Whitehair Rosette Grass#65#false##2010#-81#-91701#-693889#-644730378#-39.83#-85736.69#134306.54#-471624557.81#80.00%#i#Xi#rGTCqhc4h8#avconvert#6 June 2012
Anneliese McGuinness#Tropical Widelip Orchid#66#false##2004#55#60584#-291098#-533811932#78.56#-85545.03#-560050.96#226583240.32#56.22%#w#2m#Zxh5om0Pq0#ab#9 July 2012
Callida Witty#Parrotfeather Treefern#67#true##2000#-68#-49650#84638#-693006405#66.62#54014.17#-661255.18#-302989671.9#51.74%#s#TP#OO7VzaqJtD#addftinfo#27 August 2012
Leoline Goodrum#Lanceleaf Schlotheimia Moss#68#true##1985#-35#77634#648294#-63447851#90.46#68013.8#489176.83#212042706.2#08.76%#g#1B#wAJyAGYiu4#afm2afm#17 September 2013
Collen Danielot#Great Basin Woollystar#69#true##1992#-45#-41705#-789876#880480668#33.92#7015.32#951194.41#-876719784.38#41.39%#t#Pe#DC5uHgr9zr#agvtool#19 February 2014
Anissa Gile#Oneflower Honeycombhead#70#false##2008#-73#-38443#702802#937432812#46.21#-9855.94#-611065.02#-128122469.43#43.29%#t#ZP#1DBxCrEfIA#amt#30 June 2014
Lutero Redwin#Lindenleaf Rosemallow#71#false##2006#-66#8895#851484#352891892#6.74#9822.19#-855688.92#82612848.94#16.64%#k#Ft#lO7Z9Osr9y#appletviewer#8 August 2014
Raynell Varey#Lespedeza#72#true##2003#-92#-69001#-154933#-487682827#-58.43#26079.51#940321.82#-628869018.17#40.24%#d#Hb#KBACIstoc5#ar#22 January 2015
Tiffi Janaszewski#Protoparmelia Lichen#73#false##2008#-41#-42725#248392#-149079228#67.76#-84099.13#447399.32#232555822.1#30.61%#x#gf#DHtSrNOOmb#asctl#21 December 2015
Leann Scopyn#Coastal Blacksnakeroot#74#false##1993#18#-79006#53605#563409076#-20.96#46412.13#-793930.71#461814424.07#89.54%#a#5l#x2n5AN6qUl#atom#19 February 2017
Langston Clewett#Fernleaf Yarrow#75#true##2009#34#-39061#741885#-405594467#35#25451.1#56755.13#730182109.35#69.35%#t#8L#EaPehWwnpF#auditreduce#18 May 2017
Grange Axe#Polysporina Lichen#76#true##1991#-1#-80492#-800117#569712484#61.77#95509.16#-683847#58294784.53#72.81%#r#mI#aDifx5Xpyb#automake#22 May 2001
Rhianon Ragg#Appendage Orchid#77#true##2010#25#10242#-391517#704351022#-68.35#49080.89#16873.41#970960430.74#74.43%#o#4Q#lmHaEGXljP#autoupdate#8 November 2001
Sheila Thaxter#California Gilia#78#false##2009#-72#-49120#-687476#275840299#-65.47#30290.7#190446.53#-537115245.1#50.11%#m#lq#c5mBmAcAGb#avmetareadwrite#9 November 2001
Sarajane Crowthe#Tender Green#79#false##2009#-29#14960#633420#766155638#22.15#18227.03#540058.19#-431584238.8#59.18%#m#jl#VVPnYS1lgZ#ac#17 February 2002
Melany Garside#Devilshead#80#false##2008#0#6853#291385#115497461#6.49#7952.33#916646.79#-441869171.32#67.41%#h#yu#ieHayJXrPL#adhocfilelist#3 January 2003
Mariana Billington#Soft-hair Marbleseed#81#false##2004#11#6261#415914#795493138#-31.18#-92653.32#-519430.16#272733202.63#32.95%#e#LX#9UZDsRyjeC#afm2pl#24 January 2003
Emlynn Dungee#Hairy Goldenrod#82#true##1993#28#-91507#58305#-543254560#-10.06#74853.77#60099.16#405079524.84#02.20%#l#9M#Qe5ky2xcPt#aleph#1 April 2003
Gery Wolford#Piedmont Meadow-rue#83#true##1995#29#29902#593962#405001929#10.75#-8621.18#362119#932547554.15#55.76%#j#eZ#VtNbXjK1B3#animate#16 May 2003
Lindsy Loverock#Giantchickweed#84#false##1981#-84#81825#-189893#7969452#-74.95#-19738.32#913166.16#860811798.79#50.94%#n#Dc#qEVOIhvWu8#apply#1 September 2003
Earl Sollner#Wood Vetch#85#false##2006#-33#62017#394791#571004545#62.01#-28038.29#-646020.18#-644468272.75#24.20%#i#i1#f7R5Y60Txa#arara#21 October 2003
Quintilla Slaughter#Hairy White Oldfield Aster#86#false##1989#51#-56569#518965#-245386407#80.31#-15443.94#369164#-169133398.75#88.90%#n#2T#gGSZkvaARf#aslmanager#20 May 2005
Renaud Halbert#Desert Starvine#87#false##2003#82#88676#974822#-266301751#-0.98#-92610.43#-75750.62#270416565.16#21.13%#o#8u#a9UDNyjeMu#atos#29 November 2006
Bessie Franscioni#Madam Gorgon#88#true##1994#-69#-41894#-956706#658566765#74.02#94437.28#-387537.13#-362526738.96#14.61%#t#Wm#vqTrZ8Wsdq#authorindex#27 January 2007
Alfreda Denkel#Coastal Sage Scrub Oak#89#true##2009#65#44593#757356#-180151010#61.78#-83641.25#-990763#709135431.76#62.13%#i#GW#u3OmS288bW#automake-1.15#26 July 2007
Madeline Cracker#Bosnian Pine#90#true##2002#-21#87392#439607#-24316772#46.16#-24433.36#313859.55#-14049798.24#22.66%#d#0h#DwGsImYYMw#auval#7 November 2008
Bridie Deverill#Longleaf Primrose-willow#91#true##2009#37#-44927#406045#863252002#-66.71#-26609.08#-323814.27#-99509500.15#69.07%#w#e9#ayB6Z2Orli#awk#12 November 2008
Gabie Skelhorne#Parrotweed#92#true##2004#2#74649#295945#404785167#73.76#92782.18#583725.57#800738523.93#18.88%#v#6#fETbdguMQy#java#13 July 2010
Madella Renneke#Sears' Goatgrass#93#false##2004#12#-7052#929723#-109074015#-33.58#-6630.8#484893.51#660116443.35#39.91%#k#Bp#JqcYSTFOmX#javac#9 April 2012
Adelina Malby#Sedge#94#true##2002#37#-32633#628105#882770935#-46.71#-26303.98#-962625.95#929935026.11#97.48%#r#xz#Q8AKvhgZ8x#javadoc#3 November 2013
Saba Brosini#Chapped Mallee#95#true##2006#98#78171#-689035#-796368617#-74.7#8465.14#-479589.95#-911353846.86#61.10%#i#az#2ZBvGfEb8x#javah#23 May 2015
Clarette Conrad#Clementine Suncup#96#true##1987#52#85483#-329048#-353744371#52.26#94048.86#869482.11#-505077509.87#16.98%#i#kO#xVdETbAmfa#javap#15 October 2015
Cort Luckhurst#Pitkin Marsh Lily#97#true##2009#-53#-71406#15443#270656825#-63.75#-73910.32#-742844.17#542725368.77#37.38%#l#vU#IpWjzuM042#javapackager#19 February 2016
Arvie Micheli#Jointed Spikesedge#98#true##1999#52#-38806#864015#-691390786#-12.23#-35419.88#-583327.32#-918814017.96#91.29%#i#uD#irodsQwSf7#javaws#1 October 2016
Marla Shorton#Arctic Catchfly#99#false##2012#5#11794#-741675#-398206541#-74.88#-95399.61#174626.42#-503819835.54#01.47%#w#oQ#ovdWYJ8VdU#gc#15 October 2016
Dennison Tunesi#Bitter Cherry#100#true##1999#38#-75622#-471763#99173153#-34.4#92331.22#233441.49#-981399845.69#69.43%#p#rM#YH1LftMqDX#gcc#3 April 2017
Lian Strover#Sinningia#101#true##1997#-17#-74700#315013#-705859358#-78.95#57518#768529#637086571.37#14.82%#j#uT#nWyz1QHM0x#gccmakedep#30 June 2001
Rafferty Sangwine#Teloschistes Lichen#102#false##2005#97#57612#-73564#-516858173#-13.33#32466.14#-604092.6#-112280649.63#20.68%#g#Yw#nxx8NfisxN#gcore#15 December 2001
Brigitte Gyver#Cup Lichen#103#true##1989#36#95550#887251#-218498238#-41.73#91364.43#73726.18#404300170.87#44.21%#k#9m#LtncniBIsd#gcov#9 July 2002
Alexandro Barks#Shining Rose#104#true##2009#67#14970#-160436#465841435#-14.45#-33045.29#814686.74#66385804.25#90.75%#l#cb#DzwIXr5XMh#c++#17 September 2002
Winfield Wastling#Hairy Sunflower#105#false##1971#-97#33326#277314#-268065437#-42.61#73247.69#38905.4#-59913843#62.45%#u#rE#MldG8JfR7V#captoinfo#22 October 2003
Matthiew Terbruggen#Cusick's Draba#106#false##2002#-88#-26891#200104#-208332247#-87.05#74121.42#-712746.3#-248385853.86#76.16%#p#KP#5I2zjpsiX5#certtool#23 May 2004
Frans Ashcroft#Asian Watergrass#107#true##2004#-91#-9460#459869#143045139#-36.77#17689.73#220783.08#-175931494.02#88.79%#e#Dj#812OVq6JY6#chpass#7 September 2004
Norah Demaine#Mexican Blazingstar#108#true##2009#62#-67000#-974368#817004095#-61#-95103.17#178528.68#768338819.94#51.37%#y#g8#aWuCMlQyaK#col#18 June 2005
Roze Crace#Juniper Globemallow#109#false##2011#94#69586#-649244#-584133096#71.69#-62752.28#206966.38#814026667.7#41.15%#j#Nj#6uwxvDssU5#config_data5.18#26 January 2006
Daisey Mudie#Anomodon Moss#110#false##1998#-88#91981#-755606#-852217954#-33.2#47279.33#-568632.04#-797265688.75#84.46%#n#sS#hz8whAsIWt#cpan2dist#26 August 2006
Johnna Hebblewhite#Seaside Sandplant#111#true##1989#35#39971#576156#-695708432#-35.05#29248.6#-291529.38#673487836.68#52.56%#j#IG#mxcAHtpULh#crc32#31 July 2007
Colas Charnock#Venus' Pride#112#false##2010#41#38791#-127901#-581406596#-90.39#-11456.67#952150.18#-994402469.12#04.52%#k#mt#p2LVmdMlQ0#csrutil#4 June 2008
Rouvin Nasey#Tansy Rosinweed#113#false##2002#-49#7865#193420#76898657#80.46#-2468.11#515205.26#772855688.09#42.47%#h#ts#yCMtd7qqo4#cupsreject#6 October 2009
Shea Phipps#Dicranum Moss#114#false##1998#-44#44490#-88886#700834308#-67.15#-32395.35#-894118.13#-100494835.47#56.45%#h#ZO#GXTY0vL4mb#cvlabel#11 May 2011
Ax Creaney#Big Bend Bluebonnet#115#false##2008#-77#-48126#-447174#-808671367#40.28#95954.4#-476652#621364008.99#86.38%#y#Nr#TILyd3mqSb#c++filt#13 February 2012
Shea Daish#Chrysothemis#116#true##2005#-2#-95014#-825194#774733952#75.91#40665.9#96539.59#-605096184.62#26.50%#r#6V#DtNl4qwYYk#case#23 February 2013
Luce Warlowe#Spotted St. Johnswort#117#true##2008#-13#82978#890800#362431025#-86.42#49976.37#-842513.65#1180697#23.66%#g#Mq#HPLs9kbWjV#cfftot1#16 March 2013
Roma Jenno#Pine Valley Milkvetch#118#true##2003#-85#8046#796843#-626461281#-83.8#-64273.47#-528067.77#563285258.7#60.09%#k#S1#ZcIz5NsUEy#chroot#22 May 2013
Greta Skuce#Hilograss#119#false##2007#-1#92047#240949#-163421753#-42.8#-52363.63#-193690.56#-845041412.45#92.84%#q#RY#A6V3uOoC8Y#colcrt#5 February 2015
Bettye Walkden#Mid Bladderpod#120#true##2003#54#-84558#-786852#-616061904#26.34#-95788.4#-692983.17#391053584.62#74.25%#g#bt#DkYnxMkL1S#conjure#9 September 2015
Alanah Cumbers#European Searocket#121#true##1992#7#23332#127352#-151080141#-4.91#53888.29#-63951.21#-860849071.92#34.17%#z#w0#mqSb8u3G4b#cpan2dist5.16#1 November 2015
Kin Tinker#Breutel's Notothylas#122#true##1999#-26#61004#-510901#-171724618#-11.55#3998.46#5974.12#-892577176.14#26.71%#x#JR#GSYMLn3P3K#crc325.16#18 June 2016
Forrest Eakle#Manyspike Flatsedge#123#true##2001#-49#89588#607817#740626545#-15.69#-24602.8#758861.3#-72786030.7#43.79%#n#KR#3YbmdQ15IC#ctags#30 June 2016
Diane Coneybeare#Circular Paspalum#124#true##1996#38#752#86267#-153481444#23.84#-27411.53#-47216.34#-516868503.82#33.30%#u#ju#bV2DnJGbOK#cupstestdsc#15 August 2016
Tristan Meier#Welsh's Cryptantha#125#true##1986#76#36524#475651#-560222466#67.33#34129.1#919650.01#530222301.85#06.60%#r#BI#r1lcPdKRB1#cvmkdir#19 August 2016
Phoebe MacRedmond#Sessileflower False Goldenaster#126#true##2009#93#-16510#317927#716005886#90.81#83143.95#746023.08#904184833#64.20%#w#Sg#zC325CeeTm#c2ph#14 March 2001
Abby McMurrugh#American Ipecac#127#true##1994#24#40584#-921420#-217455212#-14.94#-28244.21#81310.44#520902570.66#51.42%#j#gg#S7nPgPUoEM#cat#17 March 2001
Ellie Folcarelli#Wiegand's Sedge#128#true##2008#-54#4808#-770616#280785806#-46.58#-92782.79#35169.5#-499010227.34#34.98%#c#Fu#W46u79OHOF#cfprefsd#24 March 2001
Land Shaudfurth#Weak Saxifrage#129#true##1966#66#-40360#-991763#-286593441#52.35#-1198.7#-323202.91#-149945688.51#36.48%#d#Qe#2UTC3t7r5n#chsh#5 April 2001
Astrid Islip#Grecian Foxglove#130#true##1992#-64#43054#472899#104978152#70.09#-50828.51#407740.71#-698631338.17#35.20%#q#DA#XMVerbZZAt#colldef#7 August 2001
Jeffry O'Connel#Narrow-leaf Wattle#131#false##2007#-65#-83418#-889040#-921214359#-88.57#-81199.52#-560797.82#530897863.58#67.68%#r#th#Q8AbhZoLFz#context#15 October 2001
Kamila Beavan#Fewseeded Bog Sedge#132#true##1996#-50#-10076#830880#-24565131#5.16#48521.38#563554#-728200870.5#47.20%#v#Iw#5aK46HXfaU#cpan2dist5.18#7 July 2003
Carlie McGraffin#Dwarf Netvein Hollyfern#133#true##2002#38#-90109#343409#-28045321#-57#48047.11#147806.28#-299833955.13#07.13%#u#ZJ#GvsVg4dlXZ#crc325.18#6 August 2003
Borden Lakes#Common Yarrow#134#false##2008#19#58976#-138728#450723357#57.42#91161.34#313050#-724183311.72#91.86%#a#qW#FOmIdwCHmn#ctangle#10 August 2003
Kitti Pervoe#Horrid Herrickia#135#true##1995#-42#-30096#76633#350092735#12.28#68217.91#359587.25#927481051.51#70.94%#f#Qc#befBcqytOL#cupstestppd#31 October 2003
Lazar Hardi#Threadleaf Glowwort#136#true##2005#-57#-13435#-124562#-135760155#44.88#-62072.41#-973375.36#-443680553.02#50.29%#f#zT#LlfTkI31kd#cvmkfile#18 March 2007
Dennie Le Maitre#Mountain Doll's Daisy#137#false##2004#40#18962#223961#651066935#41.83#74365.22#227191.33#10367322.18#07.00%#z#mm#HjfJ1Wer0m#c2ph5.16#29 June 2007
Alfi Crab#Desert Poppy#138#false##2008#46#-38700#-957401#417302175#-37.68#6330.68#350025.62#158792773.72#27.42%#g#SS#sup5r4cCHt#cc#6 January 2008
Joni Ellsworthe#Lathberry#139#true##1994#21#32079#-15993#-149972004#-83.52#-22719.18#-794474.93#38468585.41#00.94%#m#Ch#ziNNiZs38D#chat#22 January 2008
Lucais Comford#South African Hoarypea#140#false##2008#96#58657#-416201#886094963#-78.58#-46841.01#-623181.05#362320700.7#75.67%#w#xg#i7JmVXfZQx#circo#4 November 2008
Curran Steggles#Fringeleaf Tickseed#141#true##1969#-15#10411#812017#289165401#92.22#-4172.64#-467327.03#413990907.9#02.10%#w#C0#UC5OUS51j3#colrm#1 June 2009
Tibold Whitrod#Hedwig's Weissia Moss#142#false##1992#54#90352#-92146#-621304498#51.73#-13952.69#58405.84#626488967.83#61.24%#d#W6#cFBl4t7uhl#contextjit#14 February 2010
Jannelle Abrashkin#Cusick's Primrose#143#true##1980#91#-18829#202505#791327681#2.77#-52422.97#97931.98#-49752453.73#04.81%#d#Se#a2utZ2lMhI#cpan5.16#22 June 2010
Emelyne Botcherby#Yankee Blackberry#144#true##1992#95#-5415#-944222#-124701334#60.88#-86707.39#-356580.45#176074855.33#14.72%#b#RU#mMkulOkAAg#creatbyproc.d#4 January 2011
Peggi Aliberti#Pseudovina#145#false##1994#18#-21050#661889#-806805359#-94.4#-80872.16#-557451.82#-990979979.08#78.45%#t#yW#yTggDKQoW2#ctanify#4 July 2012
